site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,source,estimate_Ts,year_removed,NEE,FC,TA,TS,SWC,SW_IN,USTAR,RH,VPD,comment,gStart,gEnd,SWC_use,netrad_column,estimate_ts_method,ts_col,ts_linear_domain,growing_year_start,ts_source
FI-Sod,67.3624,26.6386,180,ENF,Dfc,500,FLUXNET2015+FLUXNET+ICOS,NO,"2002, 2003",,,,,,,,,,"2002, 2003 missed lots of data; 2002 abnormal temperature; we used loose gap constrain for this site because too many data are missed.",,270,YES,,,TS_linear,ac,,recalibrated
FR-Pue,43.7413,3.5957,270,EBF,Csa,883,FLUXNET,YES,"2001:2003, 2005, 2013",,,,,,,,,,"2001-2003 lack of SWC, 2005 insect effect, 2013 low model accuracy likely sensor problem",,,YES,NETRAD,NETRAD,TS_measured,,,reconstructed
IT-MBo,46.0147,11.0458,1550,GRA,Dfb,1214,FLUXNET+ICOS,NO,,,,,,,,,,,,,,YES,,,TS_measured,,,sensor
IT-Noe,40.6062,8.1517,25,CSH,Csa,588,FLUXNET+ICOS,NO,,,,,,,,,,,,,,NO,,,TS_measured,,,sensor
IT-Ren,46.5869,11.4337,1730,ENF,Dfc,809.3,FLUXNET+ICOS,NO,,,,,,,,,,,,,,NO,,,TS_linear,ac,,sensor
IT-SRo,43.7279,10.2844,6,ENF,Csa,920,FLUXNET,NO,,,,,,,,,,,,,,NO,,,TS_measured,,,sensor
NL-Loo,52.1666,5.7436,25,ENF,Cfb,786,FLUXNET+ICOS,NO,1998,,,,,,,,,,1998 lack SWC,120,,YES,,,TS_linear,ac,,sensor
RU-Fyo,56.4615,32.9221,265,ENF,Dfb,711,FLUXNET,NO,,,,,,,,,,,,,,YES,,,TS_linear,ac,,sensor
ZA-Kru,-25.0197,31.4969,359,SAV,Bsh,547,FLUXNET2015,NO,,,,,,,,,,,,,,YES,,,TS_linear,ac,183,sensor
IT-Tor,45.8444,7.5781,2160,GRA,Dfc,920,FLUXNET+ICOS,NO,2008,,,,,,,,,,2008: first year measurement;missed half-year data,,,YES,,,TS_linear,ac,,sensor
BE-Dor,50.311876,4.968113,250,GRA,Cfb,581.795,FLUXNET+ICOS,NO,,,,,,,,,,,,,270,YES,,,TS_linear,ac,,sensor
CH-Fru,47.115833,8.537778,982,GRA,Dfb,1651,FLUXNET,NO,,,,,,,,,,,,,,YES,,,TS_measured,,,sensor
CZ-RAJ,49.443724,16.696513,648,ENF,Dfb,681,FLUXNET,YES,,,,,,,,,,,,,,NO,NETRAD,NETRAD,TS_measured,,,reconstructed
